City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,olinda,-8.0089,-34.8553,303.0,74,40,4.12,BR,1714760827
345,majene,-3.5403,118.9707,297.72,90,100,0.48,ID,1714761007
346,bengkulu,-3.8004,102.2655,298.49,94,100,2.69,ID,1714761007
347,suntar,62.1444,117.6319,263.27,100,92,0.48,RU,1714761007
348,xilin hot,43.9667,116.0333,289.29,30,100,7.48,CN,1714761007
349,amursk,50.2261,136.8994,276.47,87,100,1.96,RU,1714761007
350,port lincoln,-34.7333,135.8667,286.68,77,2,3.26,AU,1714761008
351,sandnessjoen,66.0217,12.6316,286.44,76,40,6.69,NO,1714761008
352,fada,9.5667,8.3,297.23,81,100,2.07,NG,1714761008
353,prince rupert,54.3161,-130.3201,287.2,62,0,2.57,CA,1714761008
354,labuan,5.2767,115.2417,300.35,89,20,0.0,MY,1714761008
355,trabzon,40.9167,39.8333,284.2,94,75,0.0,TR,1714761009
356,malpe,13.35,74.7167,302.76,72,100,1.28,IN,1714761009
357,kavieng,-2.5744,150.7967,301.15,81,89,2.85,PG,1714761009
358,balpyk bi,44.8947,78.2083,288.3,41,100,2.16,KZ,1714761009
359,koundara,12.4833,-13.3,311.33,18,0,1.44,GN,1714761009
360,la passe,45.5549,-0.8967,286.28,82,100,4.89,FR,1714761010
361,joaima,-16.6542,-41.0306,305.12,38,0,3.07,BR,1714761010
362,veraval,20.9,70.3667,299.87,85,6,5.75,IN,1714761010
363,pangai,-19.8,-174.35,299.21,94,40,2.57,TO,1714761010
364,pallasovka,50.05,46.8833,277.21,37,1,7.19,RU,1714761010
